reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise
28734,28734,28734,28734,0,28732,28732,379,0,28672,5.106879234313965,0.9218169450759888,0.11870431900024414,0.1309211254119873,0.05354118347167969,0.012216806411743164,6.760705471038818,0.12081237882375717,1.0
50534,50534,50534,50534,0,50532,50532,436,0,50472,4.887355804443359,0.9498543739318848,0.07584834098815918,0.07702231407165527,0.02728593349456787,0.0011739730834960938,6.978988170623779,0.01424645446240902,1.0
50869,50869,50869,50869,0,50867,50867,820,0,50807,4.174679756164551,0.7779052257537842,0.38262319564819336,0.3918440341949463,0.17233431339263916,0.00922083854675293,5.640294551849365,0.09190058708190918,1.0
39866,39866,39866,39866,0,39864,39864,539,0,39804,4.121521949768066,0.9932901859283447,0.03316354751586914,0.003931403160095215,-0.002820730209350586,-0.029232144355773926,7.317153453826904,-0.27917972207069397,1.0
49659,49659,49659,49659,0,49657,49657,252,0,49597,3.725062847137451,0.9304325580596924,0.1734476089477539,0.13990700244903564,0.07141077518463135,-0.03354060649871826,6.8277812004089355,-0.3207573890686035,1.0
50185,50185,50185,50185,0,50183,50183,157,0,50123,3.160240650177002,0.905954897403717,0.09389328956604004,0.042343974113464355,-0.05248844623565674,-0.051549315452575684,6.637212753295898,-0.4945456385612488,1.0
49354,49354,49354,49354,0,49352,49352,541,0,49292,3.153818368911743,0.9702867269515991,0.1343550682067871,0.07314324378967285,0.04409134387969971,-0.06121182441711426,7.138062000274658,-0.5877911448478699,1.0
50263,50263,50263,50263,0,50261,50261,52,0,50201,2.6646888256073,0.9827656149864197,0.08947467803955078,0.005331873893737793,-0.012083768844604492,-0.08414280414581299,7.235215187072754,-0.8090804219245911,1.0
50342,50342,50342,50342,0,50340,50340,124,0,50280,2.5828468799591064,0.9013257026672363,0.2042781114578247,0.12767207622528076,0.029439330101013184,-0.07660603523254395,6.601172924041748,-0.7363488674163818,1.0
34340,34340,34340,34340,0,34338,34338,788,0,34278,2.4871199131011963,0.9500361680984497,0.4633980989456177,0.37516558170318604,0.33015406131744385,-0.08823251724243164,6.980403423309326,-0.8485471606254578,1.0
9582,9582,9582,9582,0,9580,9580,500,0,9520,2.4641125202178955,0.5509672164916992,0.6217130422592163,0.6092405319213867,0.16264748573303223,-0.01247251033782959,3.873491048812866,-0.11744531244039536,1.0
11502,11502,11502,11502,0,11500,11500,239,0,11440,2.3574814796447754,0.9801785945892334,0.1291637420654297,0.03033924102783203,0.01067805290222168,-0.09882450103759766,7.215074062347412,-0.9507622718811035,1.0
17862,17862,17862,17862,0,17860,17860,803,0,17800,2.102822780609131,0.6606025695800781,0.5122307538986206,0.45189225673675537,0.11420798301696777,-0.060338497161865234,4.727046012878418,-0.5793632864952087,1.0
33594,33594,33594,33594,0,33592,33592,29,0,33532,2.023070812225342,0.9128470420837402,0.24371874332427979,0.13552892208099365,0.049112677574157715,-0.10818982124328613,6.690871238708496,-1.041139841079712,1.0
50790,50790,50790,50790,0,50788,50788,302,0,50728,1.9496949911117554,0.5214600563049316,0.817456841468811,0.7813103199005127,0.30738115310668945,-0.03614652156829834,3.643765926361084,-0.345905065536499,1.0
29256,29256,29256,29256,0,29254,29254,935,0,29194,1.9182695150375366,0.935433566570282,0.1270231008529663,0.009383320808410645,-0.056023478507995605,-0.11763978004455566,6.866716384887695,-1.1323341131210327,1.0
47153,47153,47153,47153,0,47151,47151,935,0,47091,1.817826509475708,0.8693554401397705,0.2515408992767334,0.13676714897155762,0.006215810775756836,-0.11477375030517578,6.352271556854248,-1.1046762466430664,1.0
23899,23899,23899,23899,0,23897,23897,316,0,23837,1.797348141670227,0.88483726978302,0.29898154735565186,0.180625319480896,0.0664595365524292,-0.11835622787475586,6.472803592681885,-1.139248013496399,1.0
19279,19279,19279,19279,0,19277,19277,282,0,19217,1.542917013168335,0.9160189628601074,0.3584505319595337,0.21787405014038086,0.13593196868896484,-0.14057648181915283,6.7155656814575195,-1.353678584098816,1.0
49581,49581,49581,49581,0,49579,49579,139,0,49519,1.5001671314239502,1.1059092283248901,0.21560442447662354,0.04899728298187256,0.15726542472839355,-0.16660714149475098,8.193938255310059,-1.6048805713653564,1.0
44411,44411,44411,44411,0,44409,44409,931,0,44349,1.2993144989013672,0.7024961709976196,0.43752193450927734,0.3100860118865967,0.012773752212524414,-0.12743592262268066,5.053204536437988,-1.2268691062927246,1.0
41918,41918,41918,41918,0,41916,41916,262,0,41856,1.233892798423767,0.5824668407440186,0.6104004383087158,0.5011014938354492,0.08484089374542236,-0.1092989444732666,4.118728160858154,-1.0518430471420288,1.0
47696,47696,47696,47696,0,47694,47694,797,0,47634,1.1432607173919678,0.8398456573486328,0.3678455352783203,0.20347750186920166,0.043982863426208496,-0.16436803340911865,6.122525691986084,-1.5832726955413818,1.0
50869,50869,50870,50870,1,50868,50868,53,0,50808,1.0218201875686646,0.3122020363807678,0.44559741020202637,0.4023386240005493,0.09150922298431396,-0.04325878620147705,2.0146079063415527,-0.4145400822162628,0.0
41753,41753,41753,41753,0,41751,41751,605,0,41691,0.9820280075073242,0.48509681224823,0.7305854558944702,0.6183053255081177,0.10497677326202393,-0.11228013038635254,3.360663414001465,-1.0806121826171875,1.0
43459,43459,43460,43460,1,43458,43458,57,0,43398,0.9171280860900879,0.17995962500572205,0.2086097002029419,0.25286006927490234,0.07401061058044434,0.04425036907196045,0.9850473999977112,0.4299437701702118,0.0
47696,47696,47699,47699,3,47697,47697,828,0,47637,0.7538135647773743,0.16888776421546936,0.2529592514038086,0.28089332580566406,0.11371123790740967,0.02793407440185547,0.8988484740257263,0.27248769998550415,0.0
34340,34340,34341,34341,1,34339,34339,868,0,34279,0.6659119725227356,0.2017543911933899,0.4166123867034912,0.39057981967926025,0.19170093536376953,-0.026032567024230957,1.1547284126281738,-0.24830304086208344,0.0
40114,40114,40117,40117,3,40115,40115,878,0,40055,0.5958936214447021,0.1061638742685318,0.21877825260162354,0.3412426710128784,0.23865866661071777,0.12246441841125488,0.41051778197288513,1.184727668762207,0.0
39577,39577,39577,39577,0,39575,39575,772,0,39515,0.5928941965103149,0.772641658782959,0.5801141262054443,0.3526698350906372,0.1272197961807251,-0.22744429111480713,5.599315643310547,-2.1919732093811035,1.0
28847,28847,28847,28847,0,28845,28845,541,0,28785,0.5608509182929993,0.9534921646118164,0.41403651237487793,0.15623080730438232,0.11139392852783203,-0.2578057050704956,7.007309436798096,-2.4849681854248047,1.0
42188,42188,42191,42191,3,42189,42189,829,0,42129,0.47774580121040344,0.13516856729984283,0.16621840000152588,0.1775352954864502,0.04301190376281738,0.011316895484924316,0.6363309621810913,0.11212803423404694,0.0
23978,23978,23980,23980,2,23978,23978,889,0,23918,0.47771838307380676,0.0957505851984024,0.11300241947174072,0.23526370525360107,0.1416376829147339,0.12226128578186035,0.32944613695144653,1.182767391204834,0.0
46859,46859,46859,46859,0,46857,46857,797,0,46797,0.4117027819156647,0.7813800573348999,0.5694085359573364,0.30117154121398926,0.0838087797164917,-0.26823699474334717,5.667347431182861,-2.585632562637329,1.0
42301,42301,42302,42302,1,42300,42300,797,0,42240,0.4078309237957001,0.1825779676437378,0.44803380966186523,0.3759549856185913,0.19632184505462646,-0.07207882404327393,1.0054322481155396,-0.6926602125167847,0.0
46434,46434,46436,46436,2,46434,46434,2,0,46374,0.405687540769577,0.31645384430885315,0.18846964836120605,0.030844688415527344,0.35258734226226807,-0.1576249599456787,2.0477099418640137,-1.518200397491455,0.0
43459,43459,43459,43459,0,43457,43457,445,0,43397,0.37317708134651184,0.9002630710601807,0.4340864419937134,0.1391528844833374,0.04001617431640625,-0.294933557510376,6.592899799346924,-2.8432605266571045,1.0
