reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise,trigger_window_max_score,trigger_window_max_pointer,trigger_is_window_max,trigger_threshold,trigger_passed
23899,23899,23899,23899,0,23897,23897,718,0,23837,6.853358745574951,0.8922935724258423,0.11641526222229004,0.1801903247833252,0.07358765602111816,0.06377506256103516,6.530853748321533,0.6183616518974304,1.0,9.482331275939941,23896,False,3.5,False
49354,49354,49354,49354,0,49352,49352,495,0,49292,4.857065200805664,0.9422669410705566,0.1209481954574585,0.1224513053894043,0.06570374965667725,0.0015031099319458008,6.91991662979126,0.01742270216345787,1.0,4.857065200805664,49354,True,3.5,True
28734,28734,28734,28734,0,28732,28732,105,0,28672,4.723458766937256,0.9032238721847534,0.16370046138763428,0.16766560077667236,0.07196903228759766,0.003965139389038086,6.615950584411621,0.041181862354278564,1.0,4.723458766937256,28734,True,3.5,True
50342,50342,50342,50342,0,50340,50340,902,0,50280,3.908973217010498,0.9184432029724121,0.14451241493225098,0.11936736106872559,0.03838634490966797,-0.02514505386352539,6.734439373016357,-0.239738330245018,1.0,3.908973217010498,50342,True,3.5,True
11502,11502,11502,11502,0,11500,11500,845,0,11440,3.407390594482422,0.9856071472167969,0.10300517082214355,0.04963231086730957,0.03577613830566406,-0.053372859954833984,7.25733757019043,-0.5121432542800903,1.0,9.867037773132324,11459,False,3.5,False
50534,50534,50534,50534,0,50532,50532,710,0,50472,3.4063706398010254,0.9872907400131226,0.09361088275909424,0.039964914321899414,0.027670741081237793,-0.053645968437194824,7.270445346832275,-0.5147788524627686,1.0,3.4063706398010254,50534,True,3.5,False
50869,50869,50869,50869,0,50867,50867,710,0,50807,3.402698040008545,0.6167787313461304,0.4731994867324829,0.4893791675567627,0.10777449607849121,0.016179680824279785,4.385859966278076,0.15905505418777466,1.0,3.402698040008545,50869,True,3.5,False
23978,23978,23978,23978,0,23976,23976,838,0,23916,3.3651552200317383,0.878862738609314,0.25979089736938477,0.22076451778411865,0.10114443302154541,-0.03902637958526611,6.4262895584106445,-0.37369638681411743,1.0,17.13270378112793,23975,False,3.5,False
47696,47696,47698,47698,2,47696,47696,86,0,47636,3.2001211643218994,0.21210095286369324,0.11256599426269531,0.3726375102996826,0.16298127174377441,0.2600715160369873,1.2352805137634277,2.5126686096191406,0.0,8.321184158325195,47688,False,3.5,False
49659,49659,49659,49659,0,49657,49657,846,0,49597,3.1448662281036377,0.9544235467910767,0.16601014137268066,0.1066741943359375,0.06202816963195801,-0.059335947036743164,7.014560699462891,-0.5696884393692017,1.0,3.1448662281036377,49659,True,3.5,False
47696,47696,47696,47696,0,47694,47694,239,0,47634,3.133370876312256,0.8518345355987549,0.2762404680252075,0.23216891288757324,0.08528268337249756,-0.04407155513763428,6.215864181518555,-0.42238348722457886,1.0,5.793438911437988,47693,False,3.5,False
34340,34340,34340,34340,0,34338,34338,118,0,34278,2.942986011505127,0.8899550437927246,0.5073063373565674,0.4489864110946655,0.34410297870635986,-0.058319926261901855,6.51264762878418,-0.5598835945129395,1.0,2.942986011505127,34340,True,3.5,False
49581,49581,49581,49581,0,49579,49579,153,0,49519,2.6948294639587402,1.0494259595870972,0.13517630100250244,0.04388082027435303,0.09472775459289551,-0.09129548072814941,7.75419282913208,-0.8781054615974426,1.0,15.722953796386719,49578,False,3.5,False
39866,39866,39866,39866,0,39864,39864,697,0,39804,2.3718276023864746,0.9729903936386108,0.12418496608734131,0.027045130729675293,3.612041473388672e-05,-0.09713983535766602,7.159111022949219,-0.9345048666000366,1.0,36.596195220947266,39863,False,3.5,False
38668,38668,38668,38668,0,38666,38666,682,0,38606,2.346559762954712,0.9226757287979126,0.2831047773361206,0.19153130054473877,0.11594617366790771,-0.09157347679138184,6.767391204833984,-0.8807882070541382,1.0,5.430517196655273,38666,False,3.5,False
50790,50790,50790,50790,0,50788,50788,732,0,50728,2.239682197570801,0.6968188285827637,0.8788295984268188,0.8191483020782471,0.5238245725631714,-0.05968129634857178,5.00900411605835,-0.5730211734771729,1.0,5.686392307281494,50780,False,3.5,False
41753,41753,41753,41753,0,41751,41751,559,0,41691,2.144460916519165,0.3660846948623657,0.6981854438781738,0.7337315082550049,0.10133624076843262,0.035546064376831055,2.4341061115264893,0.34594517946243286,1.0,24.391021728515625,41709,False,3.5,False
43076,43076,43077,43077,1,43075,43075,606,0,43015,1.566423773765564,0.21879376471042633,0.07684504985809326,0.16622936725616455,-0.05336487293243408,0.08938431739807129,1.2873867750167847,0.8654969334602356,0.0,3.9392364025115967,43064,False,3.5,False
49739,49739,49739,49739,0,49737,49737,399,0,49677,1.40587317943573,0.6805354356765747,0.4856158494949341,0.371584415435791,0.052913546562194824,-0.11403143405914307,4.882231712341309,-1.0975127220153809,1.0,3.320493698120117,49724,False,3.5,False
40114,40114,40115,40115,1,40113,40113,57,0,40053,1.3629764318466187,0.20862147212028503,0.26185452938079834,0.3379315137863159,0.13127923011779785,0.07607698440551758,1.2081913948059082,0.737078070640564,0.0,11.483660697937012,40112,False,3.5,False
29256,29256,29256,29256,0,29254,29254,209,0,29194,1.350117564201355,0.9513643980026245,0.16971755027770996,0.009183168411254883,-0.04005324840545654,-0.16053438186645508,6.990744113922119,-1.5462770462036133,1.0,10.61003303527832,29251,False,3.5,False
50263,50263,50263,50263,0,50261,50261,710,0,50201,1.3059985637664795,1.0158942937850952,0.1613408327102661,-0.010833740234375,0.0051375627517700195,-0.1721745729446411,7.493135452270508,-1.6586076021194458,1.0,2.6098995208740234,50253,False,3.5,False
50869,50869,50872,50872,3,50870,50870,751,0,50810,0.875084400177002,0.1551540642976761,0.09706926345825195,0.1695864200592041,0.014652132987976074,0.07251715660095215,0.7919260859489441,0.7027248740196228,0.0,15.247893333435059,50870,False,3.5,False
50185,50185,50185,50185,0,50183,50183,143,0,50123,0.8726840019226074,0.9006612300872803,0.25895607471466064,0.05598890781402588,-0.044010043144226074,-0.20296716690063477,6.595999717712402,-1.955763339996338,1.0,3.8511464595794678,50164,False,3.5,False
50869,50869,50870,50870,1,50868,50868,711,0,50808,0.8424596786499023,0.2511305809020996,0.360776424407959,0.3276745080947876,0.07770955562591553,-0.03310191631317139,1.5391418933868408,-0.3165239095687866,0.0,1.8543610572814941,50868,False,3.5,False
43459,43459,43462,43462,3,43460,43460,747,0,43400,0.829779863357544,0.12189959734678268,0.05675816535949707,0.1932365894317627,0.07242333889007568,0.13647842407226562,0.5330267548561096,1.319966197013855,0.0,2.109286308288574,43459,False,3.5,False
43459,43459,43460,43460,1,43458,43458,715,0,43398,0.782755434513092,0.1606302559375763,0.12085986137390137,0.16628360748291016,0.005739450454711914,0.04542374610900879,0.8345604538917542,0.44126713275909424,0.0,1.839548110961914,43456,False,3.5,False
44813,44813,44813,44813,0,44811,44811,203,0,44751,0.7515421509742737,0.38944709300994873,0.7726277112960815,0.6583187580108643,0.048493266105651855,-0.11430895328521729,2.6159918308258057,-1.1001908779144287,1.0,2.775578022003174,44783,False,3.5,False
20784,20784,20786,20786,2,20784,20784,111,0,20724,0.6897144913673401,0.13769179582595825,0.18092405796051025,0.2450261116027832,0.10896885395050049,0.06410205364227295,0.655975341796875,0.6215171813964844,0.0,41.238277435302734,20736,False,3.5,False
17862,17862,17862,17862,0,17860,17860,368,0,17800,0.6177409887313843,0.7509846687316895,0.5390173196792603,0.3194103240966797,0.07146704196929932,-0.21960699558258057,5.4307074546813965,-2.1163415908813477,1.0,55.86567306518555,17814,False,3.5,False
34340,34340,34341,34341,1,34339,34339,118,0,34279,0.6033541560173035,0.20086081326007843,0.4039177894592285,0.3654041290283203,0.16704905033111572,-0.0385136604309082,1.1477715969085693,-0.3687485158443451,0.0,19.504413604736328,34338,False,3.5,False
31057,31057,31059,31059,2,31057,31057,614,0,30997,0.5787901878356934,0.1059553325176239,0.18832623958587646,0.3058830499649048,0.20297229290008545,0.11755681037902832,0.4088941812515259,1.137368083000183,0.0,22.658748626708984,31056,False,3.5,False
20452,20452,20452,20452,0,20450,20450,697,0,20390,0.5734111070632935,0.97804856300354,0.34129559993743896,0.08297562599182129,0.06195354461669922,-0.2583199739456177,7.198491096496582,-2.4899308681488037,1.0,27.516592025756836,20404,False,3.5,False
43076,43076,43076,43076,0,43074,43074,732,0,43014,0.5662127733230591,0.6783000826835632,0.536602258682251,0.31951165199279785,-0.0022215843200683594,-0.21709060668945312,4.864828586578369,-2.092057943344116,1.0,2.6569623947143555,43026,False,3.5,False
43459,43459,43461,43461,2,43459,43459,619,0,43399,0.5290896892547607,0.1532142162322998,0.2058011293411255,0.20298552513122559,0.05052924156188965,-0.0028156042098999023,0.7768235802650452,-0.024253901094198227,0.0,2.354706287384033,43449,False,3.5,False
42301,42301,42302,42302,1,42300,42300,239,0,42240,0.47826042771339417,0.22295282781124115,0.4865751266479492,0.4004305601119995,0.18018043041229248,-0.08614456653594971,1.3197667598724365,-0.8283979296684265,0.0,20.869693756103516,42253,False,3.5,False
44062,44062,44065,44065,3,44063,44063,358,0,44003,0.47364941239356995,0.16763463616371155,0.4966787099838257,0.4599452018737793,0.29676198959350586,-0.03673350811004639,0.8890923857688904,-0.35156962275505066,0.0,11.655989646911621,44060,False,3.5,False
44411,44411,44411,44411,0,44409,44409,113,0,44349,0.421153724193573,0.7907168865203857,0.49233412742614746,0.2251664400100708,0.016125202178955078,-0.26716768741607666,5.7400383949279785,-2.5753133296966553,1.0,43.437686920166016,44363,False,3.5,False
46434,46434,46436,46436,2,46434,46434,944,0,46374,0.4022156000137329,0.1425134539604187,0.07322120666503906,0.047963738441467285,0.19337785243988037,-0.025257468223571777,0.6935138702392578,-0.2408231496810913,0.0,16.08295249938965,46433,False,3.5,False
39249,39249,39252,39252,3,39250,39250,107,0,39190,0.35579919815063477,0.09617568552494049,0.021938800811767578,0.08886539936065674,-0.007421612739562988,0.06692659854888916,0.3327557146549225,0.6487746834754944,0.0,7.600026607513428,39247,False,3.5,False
35074,35074,35074,35074,0,35072,35072,719,0,35012,0.3389749825000763,0.8865443468093872,0.4467310905456543,0.14330196380615234,0.03030085563659668,-0.30342912673950195,6.486093997955322,-2.9252448081970215,1.0,5.931768417358398,35071,False,3.5,False
9504,9504,9507,9507,3,9505,9505,42,0,9445,0.3362833559513092,0.1343122124671936,0.42137813568115234,0.38497912883758545,0.2544841766357422,-0.036399006843566895,0.62966388463974,-0.34834161400794983,0.0,13.505805015563965,9456,False,3.5,False
42188,42188,42190,42190,2,42188,42188,614,0,42128,0.3200085461139679,0.08783581852912903,0.05654597282409668,0.14268910884857178,0.05568861961364746,0.0861431360244751,0.26782646775245667,0.8342188000679016,0.0,2.396289587020874,42187,False,3.5,False
47696,47696,47699,47699,3,47697,47697,366,0,47637,0.3120977282524109,0.11169037222862244,0.2643415927886963,0.2629971504211426,0.1536109447479248,-0.001344442367553711,0.4535437822341919,-0.010056844912469387,0.0,19.12993812561035,47694,False,3.5,False
23978,23978,23979,23979,1,23977,23977,623,0,23917,0.3102416396141052,0.08947710692882538,0.1695936918258667,0.24220550060272217,0.1550542116165161,0.07261180877685547,0.2806045711040497,0.7036383152008057,0.0,15.975245475769043,23976,False,3.5,False
43459,43459,43459,43459,0,43457,43457,719,0,43397,0.305959016084671,0.9539922475814819,0.4609891176223755,0.13842368125915527,0.09382331371307373,-0.3225654363632202,7.011202812194824,-3.109914779663086,1.0,5.428900241851807,43449,False,3.5,False
50534,50534,50536,50536,2,50534,50534,614,0,50474,0.30320578813552856,0.0939536988735199,0.06587696075439453,0.11522877216339111,0.02159905433654785,0.04935181140899658,0.3154566287994385,0.4791738986968994,0.0,2.0218303203582764,50533,False,3.5,False
42301,42301,42301,42301,0,42299,42299,742,0,42239,0.29889485239982605,0.628522515296936,0.9158670902252197,0.6385645866394043,0.27115440368652344,-0.27730250358581543,4.477290153503418,-2.673116683959961,1.0,9.853967666625977,42253,False,3.5,False
50790,50790,50793,50793,3,50791,50791,745,0,50731,0.28976088762283325,0.10044781118631363,0.1759871244430542,0.19518578052520752,0.09618067741394043,0.01919865608215332,0.3660159111022949,0.18818886578083038,0.0,4.757504463195801,50766,False,3.5,False
28847,28847,28847,28847,0,28845,28845,239,0,28785,0.28744804859161377,0.9902809858322144,0.46593642234802246,0.13258957862854004,0.12474167346954346,-0.3333468437194824,7.293725490570068,-3.2139577865600586,1.0,34.367271423339844,28799,False,3.5,False
