stage,baseline,flash
0,74.61412559785444,78.86204226806711
1,78.2009921267102,84.65173361008323
2,79.85903646042993,85.93020474466232
3,81.6359948244881,86.83137970101455
4,83.4789831756506,86.7274910590281
5,84.33184488027426,86.80280457813157
6,85.46824981327613,88.5209931290549
7,89.19937839228088,91.47644812645525
8,90.98112565500575,92.58174611046097
9,94.22401760243642,94.0730761012089
10,94.125891166961,92.92431927378323
11,94.01159783481813,93.94057468137866
12,93.40183407031324,94.98436728396126
13,91.09394802280308,94.82952033454478
14,90.49154458417566,94.55009461714347
15,89.99720406888575,100.2985006072287
16,88.00894603141408,104.81882495001238
