stage,baseline,flash
0,29.091961568823848,26.47552866671673
1,28.952567921663757,26.07184327905278
2,28.73934565761239,25.65481244393399
3,28.480554508076256,25.490127758141448
4,28.08807974996577,25.178420938008873
5,27.979117306095887,25.35725096721979
6,27.592032164367797,25.417727131399314
7,27.14096407544593,25.201482973932446
8,26.465545504728578,24.67966513251688
9,25.527080148223817,23.604033772716154
10,24.743387129465884,23.12148067201511
11,23.842664883824504,22.0014917572803
12,20.50123278168647,19.194841492168518
13,17.323332223037692,16.39641560675858
14,15.689376495399587,14.338962443957858
15,13.337423177798374,10.984089009131061
16,9.381179973184189,9.112922524315124
