panel,config,reference,sampling,games,seed_cells,min_n,max_n,wins,losses,game_sign_p,metric,reference_value,config_value,delta,improvement_pct,ci_low,ci_high,included_games
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,Mean,0.9675551111731074,0.9577555251367326,-0.009799586036374874,-1.0128194170245677,-0.03967850411478351,0.020335714804751215,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,Median,0.40082759830365966,0.4158764779561118,0.015048879652452163,3.7544519679134982,-0.022505772872219332,0.04865057639117265,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,IQM_game_workbook,0.44580110182020566,0.4547521197360882,0.008951017915882542,2.007850110584191,-0.0031734357227335345,0.021560220346498758,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,Gap_game_workbook,0.5085128372037426,0.5078506596756159,-0.0006621775281266951,0.1302184487156584,-0.007417382612707737,0.0073452991026884485,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,IQM_run_equal_game,0.4475392316032585,0.45549714460001217,0.007957912996753691,1.778148692852104,-0.0022906535633982314,0.02147351403110512,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
n16_n4_matched_baseline,target: 16 (anchor 미설정),target: 4 (anchor 미설정),paired,20,50,1,5,11,9,0.8238029479980469,Gap_run_equal_game,0.5102270841496181,0.5106215046871382,0.0003944205375200349,-0.07730294015602976,-0.00684735733798372,0.007781209720370461,"Alien, Amidar, Assault, Asterix, BankHeist, BattleZone, Boxing, Breakout, ChopperCommand, CrazyClimber, DemonAttack, Frostbite, Gopher, Hero, Kangaroo, Krull, KungFuMaster, Pong, Qbert, UpNDown"
