Config,Mean,Median,IQM_game_workbook,Gap_game_workbook,IQM_run_equal_game,Gap_run_equal_game
Retrieval 미사용,0.7013922271966485,0.2317134448352595,0.27171677229705754,0.6526392214483835,0.25731627806400503,0.6526392214483834
target: 1 (anchor 미설정),0.735371608927964,0.19596101902777044,0.28427257702970316,0.6369268186397843,0.25202890906653497,0.6369268186397842
target: 12 (anchor: 0.12),0.6686352852455679,0.2205153973153399,0.2882969555047184,0.6361154675145525,0.2621502404016903,0.6361154675145524
target: 12 (anchor: 0.2),0.7078069837216888,0.21132725576053407,0.2679881191383919,0.6549899383258186,0.24469471322450626,0.6549899383258186
target: 16 (anchor 미설정),0.7345015006327572,0.22080252673892758,0.2632256478518382,0.6566661139540612,0.23915917045814145,0.6566661139540613
target: 16 (anchor: 0.4),0.637297596353557,0.21620845596152466,0.27677131676101074,0.6457402089324918,0.2577947627617813,0.6457402089324918
target: 4 (anchor 미설정),0.6851802170371715,0.22201228641722653,0.28859129878639295,0.6361312583726645,0.26168568604610676,0.6361312583726646
target: 8 (anchor: 0.3),0.6653431142121614,0.19577292323434478,0.26671528920825643,0.6526896726730846,0.2381499698458958,0.6526896726730844
