panel,config,reference,sampling,games,seed_cells,min_n,max_n,wins,losses,game_sign_p,metric,reference_value,config_value,delta,improvement_pct,ci_low,ci_high,included_games
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,Mean,1.256470632366769,1.2873312925105447,0.030860660143775753,2.45613859558696,0.00403955502296216,0.05856481731166907,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,Median,0.2365946450362501,0.2107529969133587,-0.025841648122891414,-10.922330097087386,-0.11722714372887347,-0.016157004061477048,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,IQM_game_workbook,0.394152445762505,0.3808516359702634,-0.01330080979224163,-3.3745343800951524,-0.04525333982452534,0.0214369655236491,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,Gap_game_workbook,0.5420353091719594,0.5548731484643882,0.012837839292428765,-2.368450740236923,-0.007195634917370741,0.030491363373437053,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,IQM_run_equal_game,0.38310003598489384,0.3659758894189184,-0.01712414656597544,-4.4698890518116965,-0.05232933175300025,0.021758244106871882,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
n16_hash9,target: 16 (anchor 미설정),Retrieval 미사용,paired,9,16,1,3,6,3,0.5078125,Gap_run_equal_game,0.5420353091719595,0.5548731484643881,0.012837839292428543,-2.3684507402368813,-0.007195634917370852,0.03049136337343694,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Frostbite, Krull, Qbert"
